id,dayOfYear,quote ,author,year
95,187,My life is an unfinished painting. I'll be painting for a while on the canvas.,Lady Gaga,2021
95,188,Let it go so something else can grow.,Prince Ea,2021
95,189,A belief is a thought that is true for you.,Deepak Chopra,2021
95,190,All you can ever do is be the best version of yourself right now.,James Carden,2021
95,191,The greatest miracle is to still be alive.,Thich Nhat Hanh,2021
95,192,"When all else fails, love.",Elizabeth Lesser,2021
95,193,Grace is a power that comes in and transforms a moment to something better.,Caroline Myss,2021
95,194,You shine for who you are.,Martha Beck,2021
95,195,Happiness is there for the talking - and making.,Oprah Winfrey,2021
95,196,Happiness is the consequence of your personal effort.,Elizabeth Gilbert,2021
95,197,"If we live for one another, together we can change the world.",Blake Mycoskie,2021
95,198,"As long as you're breathing, it's never too late to do some good. ",Dr. Maya Angelou,2021
95,199,The real growth is letting go.,Michael Singer,2021
95,200,"You are not here to shrink down to less, but to blossom into more of who you really are.",Oprah Winfrey,2021
95,201,Nothing really worth having is easy to get.,Aisha Tyler,2021
95,202,I can appreciate what I have rather than yearning for what I don't,Ruth Ozeki,2021
95,203,Live like you really mean it. ,Kris Carr,2021
95,204,Go for a walk and something will happen.,Cheryl Strayed,2021
95,205,"When you learn, teach. When you get, give. ",Dr. Maya Angelou,2021
95,206,Power is the alignment of your personality with your soul.,Gary Zukav,2021
95,207,Be more splendid. Be more extraordinary. Use every moment to fill yourself up.,Oprah Winfrey,2021
95,208,My intention has all my attention.,Ava Duvernay,2021
95,209,The difference between a dream and a goal is a timeline.,Dr. Phil McGraw,2021
95,210,Trust is built in very small moments.,Brené Brown,2021
95,211,The chance to love and be loved exists no matter where you are.,Oprah Winfrey,2021
95,212,Love is picking up the other when the time comes.,Richard M. Cohen,2021
95,213,"As long as love is at the core of it, you will always achieve the best results.",Common,2021
95,214,There are two emotions: Love and Fear.,Iyanla Vanzant,2021
95,215,I'm here and I am alive. And that's enough.,Don Miguel Ruiz,2021
95,216,"I am grateful for: always this moment, the now. No matter what form it takes.",Eckhart Tolle,2021
95,217,"The more you praise and celebrate your life, the more there is in life to celebrate.",Oprah Winfrey,2021
95,218,Our life is big. Keep reaching.,Oprah Winfrey,2021
95,219,"To me, power is making things happen without asking for permission.",Beyoncé,2021
95,220,You should celebrate each day that you're able to leave a lasting effect.,Neil deGrasse Tyson,2021
95,221,The only limit to your success is your own imagination.,Shonda Rhimes.,2021
95,222,Happiness is a living thing and we need to feed our happiness in order for our happiness to last.,Thich Nhat Hanh,2021
95,223,It's not that you have a spiritual life. You are a spiritual life. ,Rob Bell,2021
95,224,You simply have to be who you are.,Salma Hayek,2021
95,225,The joy is inside ourselves.,Michael Singer,2021
95,226,I learn away from the noise the mind is making.,Michael Singer,2021
95,227,Optimism is a daily spiritual practice.,Shawn Achor,2021
95,228,Build a body you can listen to.,Whitney Tingle,2021
95,229,Embrace discomfort. Innovation lies between a rock and a hard place.,Jessica O. Matthews,2021
95,230,"Your journey begins with a choice to get up, step out, and live fully.",Oprah Winfrey,2021
95,231,Being able to be by myself is part of knowing that I'm enough.,Maria Shriver,2021
95,232,Seek opportunities to put more love into the world.,Marianne Williamson,2021
95,233,Keep your heart open. ,Martha Beck,2021
