id,day_of_year,quote,author,of_year
35,35,"The way to develop the best that is in a person is by appreciation and encouragement.","Charles Schwab",2021
36,36,"The roots of all goodness lie in the soil of appreciation for goodness.","Dalai Lama",2021
37,37,"There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.","Albert Einstein",2021
38,38,"Reflect upon your present blessings, of which every man has plenty; not on your past misfortunes, of which all men have some.","Charles Dickens",2021
39,39,"None is more impoverished than the one who has no gratitude. Gratitude is a currency that we can mint for ourselves, and spend without fear of bankruptcy.","Fred De Witt Van Amburgh",2021
40,40,"Some people grumble that roses have thorns; I am grateful that thorns have roses.","Alphonse Karr",2021
41,41,"Remember, being happy doesn’t mean you have it all. It simply means you are thankful for all you have",Anonymous,2021
42,42,"Gratitude is the healthiest of all human emotions. The more you express gratitude for what you have, the more likely you will have even more to express gratitude for.","Zig Ziglar",2021
43,43,"Two kinds of gratitude: The sudden kind we feel for what we take; the larger kind we feel for what we give.","Edwin Arlington Robinson",2021
44,44,"Gratitude is the most exquisite form of courtesy.","Jacques Maritain",2021
45,45,"I’ve had a remarkable life. I seem to be in such good places at the right time. You know, if you were to ask me to sum my life up in one word, gratitude.","Dietrich Bonhoeffer",2021
46,46,"Thankfulness is the beginning of gratitude. Gratitude is the completion of thankfulness. Thankfulness may consist merely of words. Gratitude is shown in acts.","Henri Frederic Amiel",2021
47,47,"Opening your eyes to more of the world around you can deeply enhance your gratitude practice.","Derrick Carpenter",2021
48,48,"Be grateful for what you already have while you pursue your goals. If you aren’t grateful for what you already have, what makes you think you would be happy with more.","Roy T. Bennett",2021
49,49,"Train yourself never to put off the word or action for the expression of gratitude.","Albert Schweitzer",2021
50,50,"Gratitude is riches. Complaint is poverty.","Doris Day",2021
51,51,"Gratitude is an antidote to negative emotions, a neutralizer of envy, hostility, worry, and irritation. It is savoring; it is not taking things for granted; it is present-oriented.","Sonja Lyubomirsky",2021
52,52,"What separates privilege from entitlement is gratitude.","Brene Brown",2021
53,53,"Gratitude turns what we have into enough.",Anonymous,2021
54,54,"Gratitude is a powerful catalyst for happiness. It’s the spark that lights a fire of joy in your soul.","Amy Collette",2021
55,55,"Gratitude makes sense of our past, brings peace for today, and creates a vision for tomorrow.","Melody Beattie",2021
56,56,"Happiness cannot be traveled to owned, earned, worn or consumed. Happiness is the spiritual experience of living every minute with love, grace, and gratitude.","Denis Waitley",2021
57,57,"My grandfather told me once that happiness is an expression of gratitude. And it’s never wrong to be grateful.","Amy Harmon",2021
58,58,"No one who achieves success does so without the help of others. The wise and confident acknowledge this help with gratitude.","Alfred North Whitehead",2021
59,59,"In ordinary life, we hardly realize that we receive a great deal more than we give, and that it is only with gratitude that life becomes rich.","Dietrich Bonhoeffer",2021
60,60,"Gratitude is when memory is stored in the heart and not in the mind.","Lionel Hampton",2021
61,61,"Gratitude is not only the greatest of virtues but the parent of all others.","Marcus Tullius Cicero",2021
62,62,"Gratitude will shift you to a higher frequency, and you will attract much better things.","Rhonda Byrne",2021
63,63,"When I started counting my blessings, my whole life turned around.","Willie Nelson",2021
64,64,"Before you achieve your goal, be grateful for the journey.","Justin Ho",2021
65,65,"He is a wise man who does not grieve for the things which he has not, but rejoices for those which he has.",Epictetus,2021
66,66,"The root of joy is gratefulness.","David Steindl-Rast",2021
67,67,"Being thankful is not always experienced as a natural state of existence, we must work at it, akin to a type of strength training for the heart.","Larissa Gomez",2021
68,68,"The revelation of kindness hurts worse than cruelty. There is no way to equal it. Nowhere to put her gratitude, and so it thrashes in her body.","Emily Ruskovich",2021
69,69,"Be thankful for what you have; you’ll end up having more. If you concentrate on what you don’t have, you will never, ever have enough.","Oprah Winfrey",2021
70,70,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.","John F. Kennedy",2021
71,71,"Gratitude for the present moment and the fullness of life now is the true prosperity.","Eckhart Tolle",2021
72,72,"Gratitude is the sign of noble souls.",Aesop,2021
73,73,"Feeling gratitude and not expressing it is like wrapping a present and not giving it.","William Arthur Ward",2021
74,74,"When it comes to life the critical thing is whether you take things for granted or take them with gratitude.","G.K. Chesterton",2021
75,75,"You cannot do a kindness too soon because you never know how soon it will be too late.","Ralph Waldo Emerson",2021
76,76,"When you are grateful, fear disappears and abundance appears.","Anthony Robbins",2021
77,77,"We often take for granted the very things that most deserve our gratitude.","Cynthia Ozick",2021
78,78,"Nothing is more honorable than a grateful heart.","Lucius Annaeus Seneca",2021
79,79,"Develop an attitude of gratitude, and give thanks for everything that happens to you, knowing that every step forward is a step toward achieving something bigger and better than your current situation.","Brian Tracy",2021
80,80,"Gratitude unlocks the fullness of life. It turns what we have into enough, and more. It turns denial into acceptance, chaos to order, confusion to clarity. It can turn a meal into a feast, a house into a home, a stranger into a friend.","Melody Beattie",2021
81,81,"Today I choose to live with gratitude for the love that fills my heart, the peace that rests within my spirit, and the voice of hope that says all things are possible.",Anonymous,2021
82,82,"If you concentrate on finding whatever is good in every situation, you will discover that your life will suddenly be filled with gratitude, a feeling that nurtures the soul.","Rabbi Harold Kushner",2021
83,83,"I would maintain that thanks are the highest form of thought, and that gratitude is happiness doubled by wonder.","Gilbert C. Chesterton",2021
84,84,"Gratitude helps you to grow and expand; gratitude brings joy and laughter into your life and into the lives of all those around you.","Eileen Caddy",2021
86,86,"Walk as if you are kissing the Earth with your feet.","Thich Nhat Hanh",2021
87,87,"Be mindful. Be grateful. Be positive. Be true. Be kind.","Roy T. Bennett",2021
88,88,"Pursue what catches your heart, not what catches your eyes.","Roy T. Bennett",2021
89,89,"Start each day with a positive thought and a grateful heart.","Roy T. Bennett",2021
90,90,"Be thankful for everything that happens in your life; it’s all an experience.","Roy T. Bennett",2021
91,91,"Great things happen to those who don't stop believing, trying, learning, and being grateful.","Roy T. Bennett",2021
92,92,"Sometimes life knocks you on your ass... get up, get up, get up!!! Happiness is not the absence of problems, it's the ability to deal with them.","Steve Maraboli",2021
93,93,"True happiness is to enjoy the present, without anxious dependence upon the future, not to amuse ourselves with either hopes or fears but to rest satisfied with what we have, which is sufficient, for he that is so wants nothing. The greatest blessings of mankind are within us and within our reach. A wise man is content with his lot, whatever it may be, without wishing for what he has not.",Seneca,2021
94,94,"Always remember people who have helped you along the way, and don’t forget to lift someone up.","Roy T. Bennett",2021
95,95,"At the end of the day, let there be no excuses, no explanations, no regrets.","Steve Maraboli",2021
96,96,"I would maintain that thanks are the highest form of thought; and that gratitude is happiness doubled by wonder.","G.K. Chesterton",2020
97,97,"Acknowledging the good that you already have in your life is the foundation for all abundance.","Eckhart Tolle",2020
98,98,"Each day brings new opportunities, allowing you to constantly live with love—be there for others—bring a little light into someone's day. Be grateful and live each day to the fullest.","Roy T. Bennett",2020
99,99,"Make a pact with yourself today to not be defined by your past. Sometimes the greatest thing to come out of all your hard work isn't what you get for it, but what you become for it. Shake things up today! Be You...Be Free...Share.","Steve Maraboli",2020
100,100,"In the end, though, maybe we must all give up trying to pay back the people in this world who sustain our lives. In the end, maybe it's wiser to surrender before the miraculous scope of human generosity and to just keep saying thank you, forever and sincerely, for as long as we have voices.","Elizabeth Gilbert",2020
101,101,"Being grateful does not mean that everything is necessarily good. It just means that you can accept it as a gift.","Roy T. Bennett",2020
102,102,"When we give cheerfully and accept gratefully, everyone is blessed.","Maya Angelou",2020
103,103,"Forget yesterday - it has already forgotten you. Don't sweat tomorrow - you haven't even met. Instead, open your eyes and your heart to a truly precious gift - today.","Steve Maraboli",2020
104,104,"The ship of my life may or may not be sailing on calm and amiable seas. The challenging days of my existence may or may not be bright and promising. Stormy or sunny days, glorious or lonely nights, I maintain an attitude of gratitude. If I insist on being pessimistic, there is always tomorrow. Today I am blessed.","Maya Angelou",2020
105,105,"You pray in your distress and in your need; would that you might pray also in the fullness of your joy and in your days of abundance.","Kahill Gibran",2020
106,106,"If having a soul means being able to feel love and loyalty and gratitude, then animals are better off than a lot of humans.","James Herriot",2020
107,107,"When one has a grateful heart, life is so beautiful.","Roy T. Bennett",2020
108,108,"Showing gratitude is one of the simplest yet most powerful things humans can do for each other.","Randy Pausch",2020
109,109,"It doesn't matter what you did or where you were...it matters where you are and what you're doing. Get out there! Sing the song in your heart and NEVER let anyone shut you up!!","Steve Maraboli",2020
110,110,"My expectations were reduced to zero when I was 21. Everything since then has been a bonus.","Stephen W. Hawking",2020
111,111,"Appreciation is a wonderful thing. It makes what is excellent in others belong to us as well.",Voltaire,2020
112,112,"Gratitude builds a bridge to abundance.","Roy T. Bennett",2020
113,113,"...for love casts out fear, and gratitude can conquer pride.","Louisa May Alcott",2020
114,114,"Dance. Smile. Giggle. Marvel. TRUST. HOPE. LOVE. WISH. BELIEVE. Most of all, enjoy every moment of the journey, and appreciate where you are at this moment instead of always focusing on how far you have to go.","Mandy Hale",2020
115,115,"Everyone enjoys being acknowledged and appreciated. Sometimes even the simplest act of gratitude can change someone's entire day. Take the time to recognize and value the people around you and appreciate those who make a difference in your lives.","Roy T. Bennett",2020
116,116,"When you arise in the morning, think of what a precious privilege it is to be alive—to breathe, to think, to enjoy, to love—then make that day count!","Steve Maraboli",2020
117,117,"When a person doesn’t have gratitude, something is missing in his or her humanity. A person can almost be defined by his or her attitude toward gratitude.","Elie Wiesel",2020
118,118,"Those with a grateful mindset tend to see the message in the mess. And even though life may knock them down, the grateful find reasons, if even small ones, to get up.","Steve Maraboli",2020
119,119,"Free yourself from the complexities and drama of your life. Simplify. Look within. Within ourselves we all have the gifts and talents we need to fulfill the purpose we've been blessed with.","Steve Maraboli",2020
120,120,"The highest tribute to the dead is not grief but gratitude.","Thornton Wilder",2020
121,121,"Dead people receive more flowers than the living ones because regret is stronger than gratitude.","Anne Frank",2020
122,122,"My religion is nature. That’s what arouses those feelings of wonder and mysticism and gratitude in me.","Oliver Sacks",2020
123,123,"Let us give thanks for our shadows for they are there in the first place because of the presence of light.","Kamand Kojouri",2020
124,124,"We should certainly count our blessings, but we should also make our blessings count.","Neal A. Maxwell",2020
125,125,"Be happy with who you are and what you do, and you can do anything you want.","Steve Maraboli",2020
126,126,"Love, forgiveness, modesty, humility and gratitude are most important virtues in life.","P. Remes",2020
127,127,"Keeping your body healthy is an expression of gratitude to the whole cosmos — the trees, the clouds, everything.","Thich Nhat Hanh",2020
128,128,"Never in the field of human conflict was so much owed by so many to so few.","Winston Churchill",2020
129,129,"Gratitude can transform common days into thanksgivings, turn routine jobs into joy, and change ordinary opportunities into blessings.","William Arthur Ward",2020
130,130,"Although time seems to fly, it never travels faster than one day at a time. Each day is a new opportunity to live your life to the fullest. In each waking day, you will find scores of blessings and opportunities for positive change. Do not let your TODAY be stolen by the unchangeable past or the indefinite future! Today is a new day!","Steve Maraboli",2020
131,131,"The problem that we have with a victim mentality is that we forget to see the blessings of the day. Because of this, our spirit is poisoned instead of nourished.","Steve Maraboli",2020
132,132,"Gratitude is a sign of maturity...Where there is appreciation: there is also courtesy and concern for the rights and property of others.","Gordon B. Hinckley",2020
133,133,"This year, mend a quarrel. Seek out a forgotten friend. Dismiss suspicion and replace it with trust. Write a letter. Give a soft answer. Encourage youth. Manifest your loyalty in word and deed. Keep a promise. Forgo a grudge. Forgive an enemy. Apologize. Try to understand. Examine your demands on others. Think first of someone else. Be kind. Be gentle. Laugh a little more. Express your gratitude. Welcome a stranger. Gladden the heart of a child. Take pleasure in the beauty and wonder of the earth. Speak your love and then speak it again.","Howard W. Hunter",2020
134,134,"Those who have the ability to be grateful are the ones who have the ability to achieve greatness.","Steve Maraboli",2020
135,135,"Men are more ready to repay an injury than a benefit, because gratitude is a burden and revenge a pleasure",Tacitus,2020
136,136,"For each new morning with its light, For rest and shelter of the night, For health and food, for love and friends, For everything Thy goodness sends.","Ralph Emerson",2020
137,137,"Not what we say about our blessings, but how we use them, is the true measure of our thanksgiving.","W. T. Purkiser",2020
138,138,"There is power in having gratitude and giving thanks for what you have; it attracts more to you.","Idowu Koyenikan",2020
139,139,"You stand for what is right, Lina, without the expectation of gratitude or reward.","Ruta Sepetys",2020
140,140,"We're a nation hungry for more joy: Because we're starving from a lack of gratitude.","Brené Brown",2020
141,141,"Got no checkbooks, got no banks. Still I'd like to express my thanks - I've got the sun in the mornin' and the moon at night.","Irving Berlin",2020
142,142,"Happiness can only be achieved by looking inward & learning to enjoy whatever life has and this requires transforming greed into gratitude.","John Chrysostom",2020
143,143,"God gave you a gift of 84,600 seconds today. Have you used one of them to say thank you?","William Arthur Ward",2020
144,144,"The more I understand the mind and the human experience, the more I begin to suspect there is no such thing as unhappiness; there is only ungratefulness.","Steve Maraboli",2020
145,145,"Money matters but less than we think and not in the way that we think. Family is important. So are friends. Envy is toxic. So is excessive thinking. Beaches are optional. Trust is not. Neither is gratitude.","Eric Weiner",2020
146,146,"Time erodes gratitude more quickly than it does beauty!","Mario Puzo",2020
147,147,"The miracle is not to walk on water. The miracle is to walk on the green earth, dwelling deeply in the present moment and feeling truly alive.","Thich Nhat Hanh",2020
148,148,"And I have by me, for my comfort, two strange white flowers - shriveled now, and brown and flat and brittle - to witness that even when mind and strength had gone, gratitude and a mutual tenderness still lived on in the heart of men.","H. G. Wells",2020
149,149,"It took untold generations to get you where you are. A little gratitude might be in order. If you're going to insist on bending the world to your way, you better have your reasons.","Jordan B. Peterson",2020
150,150,"The truth is I do love you. Admitting that means opening myself up to all that pain when you leave. After you realize this wasn’t love, but gratitude.","Kelly Moran",2020
151,151,"Gratitude means to recognize the good in your life, be thankful for whatever you have, some people may not even have one of those things you consider precious to you (love, family, friends etc). Each day give thanks for the gift of life.You are blessed",Pablo,2020
152,152,"There is strange comfort in knowing that no matter what happens today, the Sun will rise again tomorrow.","Aaron Lauritsen",2020
153,153,"An attitude of gratitude brings great things.","Yogi Bhajan",2020
154,154,"How long will this last, this delicious feeling of being alive, of having penetrated the veil which hides beauty and the wonders of celestial vistas? It doesn't matter, as there can be nothing but gratitude for even a glimpse of what exists for those who can become open to it.","Alexander Shulgin",2020
155,155,"We don’t truly appreciate what we have until it’s gone… We don’t really appreciate something until we have experienced some events; we don't really appreciate our parents until we ourselves have become parents. Be grateful for what you have now, and nothing should be taken for granted.","Roy T. Bennett",2020
156,156,"My gratitude for good writing is unbounded; I’m grateful for it the way I’m grateful for the ocean.","Anne Lamott",2020
157,157,"Love of God is pure when joy and suffering inspire an equal degree of gratitude.","Simone Weil",2020
158,158,"And now...farewell to kindness, humanity and gratitude. I have substituted myself for Providence in rewarding the good; may the God of vengeance now yield me His place to punish the wicked.","Alexandre Dumas",2020
159,159,"Gratitude is the beginning of wisdom. Stated differently, true wisdom cannot be obtained unless it is built on a foundation of true humility and gratitude.","Gordon B. Hinckley",2020
160,160,"He who does not reflect his life back to God in gratitude does not know himself.","Albert Schweitzer",2020
161,161,"Breath is the finest gift of nature. Be grateful for this wonderful gift.","Amit Ray",2020
162,162,"It’s [old age] not a surprise, we knew it was coming – make the most of it. So you may not be as fast on your feet, and the image in your mirror may be a little disappointing, but if you are still functioning and not in pain, gratitude should be the name of the game.","Betty White",2020
163,163,"Whatever you appreciate and give thanks for will increase in your life.","Sanaya Roman",2020
164,164,"When we learn to read the story of Jesus and see it as the story of the love of God, doing for us what we could not do for ourselves--that insight produces, again and again, a sense of astonished gratitude which is very near the heart of authentic Christian experience.","N.T. Wright",2020
165,165,"I have noticed that the Universe loves Gratitude. The more Grateful you are, the more goodies you get","Louise Hay",2020
166,166,"Be happy, noble heart, be blessed for all the good thou hast done and wilt do hereafter, and let my gratitude remain in obscurity like your good deeds.","Alexandre Dumas",2020
167,167,"A grateful mindset can set you free from the prison of disempowerment and the shackles of misery.","Steve Maraboli",2020
168,168,"Thankfulness creates gratitude which generates contentment that causes peace.","Todd Stocker",2020
169,169,"Take full account of what Excellencies you possess, and in gratitude remember how you would hanker after them, if you had them not.","Marcus Aurelius",2020
170,170,"If we are to feel the positive feelings of love, happiness, trust, and gratitude, we periodically also have to feel anger, sadness, fear, and sorrow.","John Gray",2020
171,171,"Gratitude is the beginning of civility, of decency and goodness, of a recognition that we cannot afford to be arrogant. We should walk with the knowledge that we will need help every step of the way.","Gordon B. Hinckley",2020
172,172,"The essence of all beautiful art, all great art, is gratitude. ","Friedrich Nietzsche",2020
173,173,"The struggles we endure today will be the ‘good old days’ we laugh about tomorrow.","Aaron Lauritsen",2020
174,174,"When we replace a sense of service and gratitude with a sense of entitlement and expectation, we quickly see the demise of our relationships, society, and economy.","Steve Maraboli",2020
175,175,"The way to move out of judgement is to move into gratitude","Neale Donald Walsh",2020
176,176,"The root of joy is gratefulness...It is not joy that makes us grateful; it is gratitude that makes us joyful.","Brother David Steindl-Rast",2020
177,177,"They do not love, that do not show their love.","William Shakespeare",2020
178,178,"If you want to find happiness, find gratitude.","Steve Maraboli",2020
179,179,"In life one has a choice to take one of two paths: to wait for some special day - or to celebrate each special day.","Rasheed Ogunlaru",2020
180,180,"Everyone creates realities based on their own personal beliefs. These beliefs are so powerful that they can create [expansive or entrapping] realities over and over.~Kuan Yin","Hope Bradford",2020
181,181,"I thank the universe for taking everything it has taken and giving to me everything it is giving-balance","Rupi Kaur",2020
182,182,"I used to think how lucky she was to have me, but now I realize that’s backwards. A spirit of gratitude yields patience, love, and forgiveness.","Jarod Kintz",2020
183,183,"I may not be where I want to be but I'm thankful for not being where I used to be.","Habeeb Akande",2020
184,184,"It has been said that life has treated me harshly; and sometimes I have complained in my heart because many pleasures of human experience have been withheld from me…if much has been denied me, much, very much, has been given me…","Helen Keller",2020
185,185,"We only live once. We all have an expiration date after that we will never come again. I am not saying that to make you sad. I am saying that so you can cherish each moment in your life and be grateful that you are here and you are Special",Pablo,2020
186,186,"Gratitude doesn't change the scenery.  It merely washes clean the glass you look through so you can clearly see the colors.","Richelle E. Goodrich",2020
187,187,"Gratitude takes less energy than anger.","Kristin Cashore",2020
188,188,"Gratitude is medicine for a heart devastated by tragedy.  If you can only be thankful for the blue sky, then do so.","Richelle e. Goodrich",2020
189,189,"The most beautiful moments in life are moments when you are expressing your joy, not when you are seeking it.","Jaggi Vasudev",2020
190,190,"Regardless of Sunshine or Rain, Be Thankful for another GREAT day…and treat Life as the ULTIMATE Gift.... Because IT IS",Pablo,2020
191,191,"Darkness deserves gratitude. It is the alleluia point at which we learn to understand that all growth does not take place in the sunlight.","Joan Chittister",2020
192,192,"I loathe a friend whose gratitude grows old, a friend who takes his friend's prosperity but will not voyage with him in his grief",Euripides,2020
193,193,"Your dream is a reality that is waiting for you to materialize. Today is a new day! Don’t let your history interfere with your destiny! Learn from your past so that it can empower your present and propel you to greatness","Steve Maraboli",2020
194,194,"when a child gives you a gift, even if it is a rock they just picked up, exude gratitude. it may be the only thing they have to give, and they have chosen to give it to you","Dean Jackson",2020
195,195,"I think that real friendship always makes us feel such sweet gratitude, because the world almost always seems like a very hard desert, and the flowers that grow there seem to grow against such high odds.","Stephen King",2020
196,196,"A sense of entitlement is a cancerous thought process that is void of gratitude and can be deadly to our relationships.","Steve Maraboli",2020
197,197,"Gratitude for the seemingly insignificant—a seed—this plants the giant miracle.","Ann Voskamp",2020
198,198,"A little 'thank you' that you will say to someone for a 'little favour' shown to you is a key to unlock the doors that hide unseen 'greater favours'. Learn to say 'thank you' and why not?","Israelmore Ayivor",2020
199,199,"Being in the habit of saying 'Thank you,' of making sure that people receive attention so they know you value them, of not presuming that people will always be there--this is a good habit, regardless...make sure to give virtual and actual high-fives to those who rock and rock hard.","Sarah Wendell",2020
200,200,"Can you accept the notion that once you change your internal state, you don’t need the external world to provide you with a reason to feel joy, gratitude, appreciation, or any other elevated emotion?","Joe Dispenza",2020
201,201,"Courtesies of a small and trivial character are the ones which strike deepest in the grateful and appreciating heart.","Henry Clay",2020
202,202,"The fool’s life is empty of gratitude and full of fears; its course lies wholly toward the future.",Epicurus,2020
203,203,"Death is no enemy, but the foundation of gratitude, sympathy, and art. Of all life's pleasures, only love owes no debt to death.","Anita Diamant",2020
204,204,"Thank you' is a wonderful phrase. Use it. It will add stature to your soul.","Marjorie Pay Hinckley",2020
205,205,"One can never pay in gratitude: one can only pay 'in kind' somewhere else in life. ","Anne Morrow Lindbergh",2020
206,206,"When you express gratitude for the blessings that come into your life, it not only encourages the universe to send you more, it also sees to it that those blessings remain.","Stephen Richards",2020
207,207,"Be thankful for your allotment in an imperfect world.  Though better circumstances can be imagined, far worse are nearer misses than you probably care to realize.","Richelle E. Goodrich",2020
208,208,"The most fortunate are those who have a wonderful capacity to appreciate again and again, freshly and naively, the basic goods of life, with awe, pleasure, wonder and even ecstasy.","Abraham Maslow",2020
209,209,"Pity is not forgiveness, nor is gratitude absolution.","Pierce Brown",2020
210,210,"A person with gratitude will always be respected and loved.","Master Jun Hong Lu",2020
211,211,"Nearly all vices are rooted in the future. Gratitude looks to the past and love to the present; fear, avarice, lust and ambition look ahead.","C.S. Lewis",2020
212,212,"To see someone you love, in a bad setting, is one of the great barometers of gratitude.","Aimee Bender",2020
213,213,"It's in those quiet little towns, at the edge of the world, that you will find the salt of the earth people who make you feel right at home.","Aaron Lauritsen",2020
214,214,"Gratitude paints little smiley faces on everything it touches.","Richelle E. Goodrich",2020
215,215,"My gratitude to him is as boundless as the Pacific ocean.","Yann Martel",2020
216,216,"Emit gratitude as though it was done","Henri J.M. Nouwen",2020
217,217,"When every benefit received is a right, there is no place for good manners, let alone for gratitude.","Theodore Dalrymple",2020
218,218,"... Harboring an emotion as powerful as gratitude has power of its own.","Richard Paul Evans",2020
219,219,"... because all things have contributed to your advancement, you should include all things in your gratitude.","Wallace D. Wattles",2020
220,220,"Every once in a while God allows you to stub your toe as a kind reminder to be grateful for the miraculous body attached to it.","Richelle E. Goodrich",2020
221,221,"Gratitude, not understanding, is the secret to joy and equanimity.","Anne Lamott",2020
222,222,"Gratitude is the real treasure God wants us to find, because it isn't the pot of gold but the rainbow that colors our world.","Richelle E. Goodrich, Smile Anyway",2020
223,223,"Real devotion is an unbroken receptivity to the truth. Real devotion is rooted in an awed and reverent gratitude, but one that is lucid, grounded, and intelligent.","Sogyal Rinpoche",2020
224,224,"I count myself lucky, having long ago won a lottery paid to me in seven sunrises a week for life.","Robert Brault",2020
225,225,"Unwanted favours gain no gratitude.",Sophocles,2020
226,226,"Gratitude bestows reverence.....changing forever how we experience life and the world.","John Milton",2020
227,227,"My gratitude extends beyond the limits of my capacity to express it,","Iain M. Banks",2020
228,228,"Our Job is not to make young women grateful. It is to make the ungrateful so they keep going. Gratitude never radicalized anybody","Susan B. Anthony",2020
229,229,"Revenge is profitable, gratitude is expensive.","Edward Gibbon",2020
230,230,"Gratitude is born in the struggle. And we have definitely struggled.","Colleen Hoover",2020
231,231,"I see the glass half full and thank God for what I have.","Ana Monnar",2020
232,232,"A man becomes a Buddha the moment he accepts all that life brings with gratitude.",Osho,2020
233,233,"You are human, you will make mistakes, and it’s one of the most beautiful things about being human, but you must learn from your mistakes, otherwise your life will have a lot of unnecessary pain.","Rhonda Byrne",2020
234,234,"Thank God I have seen an orange sky with purple clouds. How easy it is to forget that we have the privilege of living in God's art gallery.","Erica Goros",2020
235,235,"Act with kindness but do not expect gratitude.",Confucius,2020
236,236,"Even the smallest tender mercy can bring peace when recognized and appreciated.","Richelle E. Goodrich",2020
237,237,"The soul that gives thanks can find comfort in everything; the soul that complains can find comfort in nothing.","Hannah Whitall Smith",2020
238,238,"Always there is something worth saying about glory, about gratitude.","Mary Oliver",2020
239,239,"But it seemed to me that this was the way we all lived: full to the brim with gratitude and joy one day, wrecked on the rocks the next. Finding the balance between the two was the art and the salvation.","Elizabeth Berg",2020
240,240,"Some of the best things that have ever happened to us wouldn’t have happened to us, if it weren’t for some of the worst things that have ever happened to us.","Mokokoma Mokhonoana",2020
241,241,"If we want to keep the blessings of life coming to us, we must learn to be grateful for whatever is given.","Harold Klemp",2020
242,242,"Every morning when I wake up, I kiss her forehead as symbol of gratitude and appreciation and she repays me back with a lovely smile.","M.F. Moonzajer",2020
243,243,"Make enthusiasm a way of life. Make optimism a way of success. Make gratitude a way of happiness.","Debasish Mridha",2020
