id,dayofyear,quote,author,year
1,352,Our fate lives within us. You only have to be brave enough to see it.,"Merida, Brave",2021
1,353,Count on your instincts to keep you safe; they will.,Martha Beck,2021
1,354,Persistence has its own momentum.,Cheryl Strayed,2021
1,355,The first wealth is health,Ralph Waldo Emerson,2021
1,356,I have to take care of myself in order to live life the way I want to.,Kerry Washington,2021
1,357,Nothing lifts me out of a bad mood better than a hard workout.,Cher,2021
1,358,"The mind and body are one integrated system. How we act, think, eat and feel are all related.",Bernie Siegel,2021
1,359,Set a goal� You've got to see what it is you want to achieve before you can pursue it.,Chuck Norris,2021
1,360,"He who has health, has hope; and he who has hope, has everything.",Thomas Carlyle,2021
1,361,"Life is a game, play it!",Sathya Sai Baba,2021
1,362,It takes a lot of little steps to each your big goals.,Bold Moves,2021
1,363,If you are still intact� it means you've been growing.,Bill Murray,2021
1,364,We don't stop playing games because we grow old; we grow old because we stop playing.,George Bernard Shaw,2021
1,365,Play becomes joy; joy becomes work; work becomes play.,Johannes Itten,2021
1,1,Take little pauses to relax and recenter.,Thich Nhat Hanh,2022
1,2,We are never more fully alive�than when we are playing.,Charles E. Schaefer,2022
1,3,No experience is ever wasted. Everything has meaning.,Oprah Winfrey,2022
1,4,From every mountainside let freedom ring!,Samuel Francis Smith,2022
1,5,Work hard and then work even harder.,Katie Couric,2022
1,6,Say yes� and create your own destiny.,Maya Rudolph,2022
1,7,You can't be hesitant about who you are.,Viola Davis,2022
1,8,"For to be free is not merely to cast off one's chains, but to live in a way that respects and enhances the freedom of others.",Nelson Mandela,2022
1,9,Life without liberty is like a body without spirit.,Kahil Gibran,2022
1,10,With freedom comes responsibility.,Eleanor Roosevelt,2022
1,11,"The first of earthly blessings, independence.",Edwart Gibbon,2022
1,12,Freedom is nothing else but a chance to be better.,Alebert Camus,2022
1,13,"You have the freedom to live and let live, to love and let love.",Martha Beck,2022
1,14,Saying yes allows you to move forward.,Tina Fey,2022
1,15,Stay curious and teachable.,Tracee Ellis Ross,2022
1,16,Live every minute as if you are late for the last train.,Colson Whitehead,2022
1,17,"Like all explorers, we are drawn to discover what's waiting out there without knowing yet if we have the courage to face it.",Pema Chodron,2022
1,18,Experience has taught me how amazingly big and unpredictable the natural world is. Wherever you look there are still things we don't know about and we don't understand. There are always new things to find out if you go looking for them.,David Attenborough,2022
1,19,Wake up each morning with the goal to be the best version of yourself.,Bold Moves,2022
1,20,Happiness is meant to be shared.,Abby Wambach,2022
1,21,It's only when you make the process your goal that your big dream will follow.,Oprah Winfrey,2022
1,22,Sometimes the most important thing in a whole day is the rest we take between two deep breaths.,Etty Hillesum,2022
1,23,"I am grateful for: always this moment, the now. No matter what form it takes.",Eckhart Tolle,2022
1,24,Power is the alignment of your personality with your soul.,Gary Zukav,2022
1,25,I'm here and I am alive. And that's enough.,Don Miguel Ruiz,2022
1,26,I come home to the great peace of the present moment.,Elizabeth Lesser,2022
1,27,When you swim you don't grab hold of the water�instead you relax and you float.,Allan Watts,2022
1,28,Forgiveness gives you back the laughter and the lightness in your life.,Joan Lunden,2022
1,29,I don't think you should always stay calm� maybe it's better to actually let yourself be tense and find a solution.,Yoko Ono,2022
1,30,You get to prove to yourself what you're made of.,Rachel McAdams,2022
1,31,"Rest when you're weary. Refresh and renew yourself, your body, your mind, your spirit. Then get back to work.",Ralph Marston,2022
1,32,Letting go helps us to live in a more peaceful state of mind and helps restore our balance.,Melody Beattie,2022
1,33,You are perfectly cast in your life.,Lin-Manuel Miranda,2022
1,34,Create whatever causes a revolution in your heart.,Elizabath Gilbert,2022
1,35,Be relentlessly you.,Lady Gaga,2022
1,36,The surest way to bring goodness to yourself is to make it your intention to do good for somebody else.,Oprah Winfrey,2022
1,37,"Peace is the beauty of life. It is sunshine. It is the smile of a child, the love of a mother, the joy of a father, the togetherness of a family. It is the advancement of man, the victory of a just cause, the triumph of truth.",Menachem Begin,2022
1,38,"As a parent, you're irreplaceable.",Maria Shriver,2022
1,39,"Being a father has been without any doubt my greatest source of achievement, pride and inspiration.",Naveen Jain,2022
1,40,The love of a parent�is continuous and transcends heartbreak and disappointment.,James E. Faust,2022
1,41,"Anyone who tells you fatherhood is the greatest thing that can happen to you, they are understating it.",Mike Myers,2022
1,42,"My father gave me the greatest gift anyone could give another person, he believed in me.",Jim Valvano,2022
1,43,Celebrate the wonder of your life with joy.,Bold Moves,2022
1,44,Brave is a decision.,Glennon Doyle Melton,2022
1,45,I've gotta love me more than anybody else loves me.,Mary J. Blige,2022
1,46,I lean away from the noise the mind is making.,Michael Singer,2022
1,47,Each of us is of infinite worth.,Desmond Tutu,2022
1,48,"The only way a relationship will last is if you see your relationship as a place that you go to give, and not a place that you go to take.",Tony Robbins,2022
1,49,We never know the love of a parent until we become parents ourselves.,Henry Ward Beecher,2022
1,50,My father didn�t tell me how to live; he lived. And he let me watch him do it.,Clarence Budingyon Kelland,2022
1,51,The time is always right to do what is right.,"Martin Luther King, Jr.",2022
1,52,We are all born to help each other.,Pope Francis,2022
1,53,It doesn't matter what you did or where you were� it matters where you are and what you're doing. Get out there! Sing the song in your heart and never let anyone shut you up!,Steve Maraboli,2022
1,54,To deny people their human rights is to challenge their very humanity.,Nelson Mandela,2022
1,55,Civility is the recognition that all people have dignity.,Opal Tometi,2022
1,56,Be so good they can�t ignore you.,Steve Martin,2022
1,57,We heal the past by living fully in the present.,Marianne Williamson,2022
1,58,We were born with everything you need to answer the call of your soul.,Marie Forleo,2022
1,59,All souls have the capacity to be great souls.,Gary Zukav,2022
1,60,You should always let other people in so they can shine next to you.,Chelsea Handler,2022
1,61,"Seize your own passion like a lighting bold, and hurl it at what you want.",John Patrick Shanley,2022
1,62,Telling our stories is a revolutionary act.,Janet Mock,2022
1,63,"As surely as there is a voyage away, there is a journey home.",Jack Kornfield,2022
1,64,"Our souls need time to think, dream and reflect.",Jo Ann Davis,2022
1,65,Invest in yourself to get knowledge you need to find your unique factor.,Sydney Madwed,2022
1,66,The only thing you have any control over is the present moment.,Tobe Hanson,2022
1,67,Do you have the patience to wait till your mud settles and the water is clear?,Lao Tzu,2022
1,68,Creating time to reflect on your life could be the key to reaching your greatest potential.,Amy Morin,2022
1,69,This is the real secret to life - to be completely engaged with what you are doing in the here and now.,Alan W. Watts,2022
1,70,Let our religions unite us for human kindness.,Hockson Floin,2022
1,71,"There's more to life outside of this moment, outside of today.",Yomna El-Serafy,2022
1,72,Why limit yourself? I feel like I can do anything. ,Zendaya,2022
1,73,Crossing the line of fear is what leads to greatness.,Zac Efron,2022
1,74,The goal isn't to be without thoughts. The goal is to be without a goal.,Headspace,2022
1,75,"If you are not happy with the way your life is going, take an exciting adventure in the study of you. Question your negative beliefs and focus on the positive aspects of yourself.",Bob Proctor,2022
1,76,"You don't have to see the whole staircase, just take the first step.","Marin Luther King, Jr.",2022
1,77,Courage is something you didn't know you had.,Mickey Rooney,2022
1,78,Our voices are our superpower.,Jenni Konner,2022
1,79,Happiness is empowering. It's the chance to rise above and move forward in all that you do.,Bold Moves,2022
1,80,"Meditation must be experienced to be understood. We can talk, read and think about it, but none of that comes to the real experience.",Headspace,2022
1,81,Know what sparks the light in you. Then use that light to illuminate the world.,Oprah Winfrey,2022
1,82,Art is about�what is human.,Viola Davis,2022
1,83,Everybody can start anew.,Robin Robberts,2022
1,84,"If we're always projecting our own ideas of how we want others to be, then we're never allowing them to be as they are.",Headspace,2022
1,85,"Stop being afraid of what could go wrong, and start being excited of what could go right.",Tony Robbins,2022
1,86,Remembering that you are going to die is the best way I know to avoid the trap of thinking you have something to lose. You are already naked. There is no reason not to follow your heart.,Steve Jobs,2022
1,87,The biggest adventure you can ever take is to live the life of your dreams.,Oprah Winfrey,2022
1,88,Give yourself a chance.,Dr. Phil McGraw,2022
1,89,Life is not against me. Life is absolutely on my side.,Michael Beckwith,2022
1,90,The most meaningful way to succeed is to help others succeed.,Adam Grant,2022
1,91,"If you know what changes a heart, you know what changes the world.",Marianne Williamson,2022
1,92,The desire to improve does not have to come from a place of self-loathing.,James Clear,2022
1,93,Bring your life into full bloom with these inspirational thoughts on the wonders of growth.,Bold Moves,2022
1,94,Owning who we are is power. Yes. We�ve got to dare to stand out.,Janet Mock,2022
1,95,Your curiosity just might lead to your passion.,Elizabeth Gilbert,2022
1,96,Life gives you an endless supply of do-overs.,Iyanla Vanzant,2022
1,97,The way to true success is to honor your calling.,Oprah Winfrey,2022
1,98,Aliveness happens in action.,Brendon Bruchard,2022
1,99,It's not about the goal or the dream you have. It's about who you become on your way to that goal.,Rachel Hollis,2022
1,100,Pleasure is energy reciprocated: What you put out comes back.,Oprah Winfrey,2022
1,101,"Whenever you are stuck searching for the optimal plan, remember: Getting started changes everything.",James Clear,2022
1,102,Sometimes renewal comes in surrender.,Rob Bell,2022
1,103,Who I was before and who I am now are two different people.,Billy Chapata,2022
1,104,"Let them come, let them be, let them go.",Culadasa,2022
1,105,Be like the tree and let the dead leaves drop.,Rumi,2022
1,106,"If we don't change, we don't grow. If we don't grow, we aren't really living.",Gail Sheehy,2022
1,107,"It is too easy to forget that we are just one of over seven billion people. Know this life is shared, know this life is precious.",Headspace,2022
1,108,Understanding and compassion begin with yourselves.,Thich Nhat Hanh,2022
1,109,My intention has all my attention.,Ava Duvernay,2022
1,110,"When the whole world is silent, then even one voice becomes powerful.",Malala Yousafzai,2022
1,111,It's not about perfection. It's about purpose.,Beyonce,2022
1,112,The teacher learns more than the student. The author learns more than the reader. The speaker learns more than the attendee. The way to learn is by doing.,James Clear,2022
1,113,I am a prism of my world.,Krista Tippett,2022
1,114,We plant the seed of possibility.,Lupita Nyong'o,2022
1,115,"Being your best self requires nourishing your body, mind, and soul.",Bold Moves,2022
1,116,"Rather than thinking of meditation as another thing to do, think of it as the one time in the day when you don't have anything to do at all.",Headspace,2022
1,117,A comeback is not a go back.,Tim Storey,2022
1,118,"The more you move, the easier is to keep moving. Maintain the momentum.",James Clear,2022
1,119,"Each day holds a surprise. But only if we expect it we can see, hear, or feel it when It comes to us� Whether it comes to us as a sorrow or as a joy it will open a new place in our hearts, a place where we can welcome new friends and celebrate more fully our shared humanity.",Henri Nouwen,2022
1,120,"True healing is not the fixing of the broken, but the rediscovery of the unbroken.",Jeff Foster,2022
1,121,Do what God tells you to do: do it with all your heart; and He will find a way to help you succeed.,Positive Thoughts,2022
1,122,Be more interested in your growth than your comfort.,Petro Wells,2022
1,123,Resolutions are like teenage hearts; they get broken an awful lot.,Dr. Mehmet Oz,2022
1,124,"There is light inside each of you, all of us, that illuminates your very human beingness if you let it.",Oprah Winfrey,2022
1,125,"No matter how many mistakes you make or how slow you progress, you are still way ahead of everyone who isn't trying.",Tony Robbins,2022
1,126,There is something infinitely healing in the repeated refrains of nature.,Rachel Carson,2022
1,127,Find ecstasy in life; the mere sense of living is joy enough.,Emily Dickinson,2022
1,128,"Let no one who loves be unhappy, even love unreturned has its rainbow.",J.M. Barrie,2022
1,129,We have to practice creative courage in all things.,Margo Jefferson,2022
1,130,"When you expand yourself, you expand your world.",Katherine Russell Rich,2022
1,131,Peace of mind is rarely found in a past remembered or a future imagined. It's found in our willingness to embrace this very moment.,Headspace,2022
1,132,You were not created to fail.,Bishop TD Jakes,2022
1,133,"The more we meditate, the more we realize that, ultimately, we know nothing at all.",Headspace,2022
1,134,You can't argue with passion.,Tim Burton,2022
1,135,Crossing the line of fear is what leads to greatness.,Zac Efron,2022
1,136,"In any given moment I might be wounded, but I can choose not to act from my wound.",Marianne Williamson,2022
1,137,"You, and you alone, are good enough.",Mana Shriver,2022
1,138,Kindness is the greatest from of love we can show in our daily lives.,Bold Moves,2022
1,139,Love is all around and ever available.,Oprah Winfrey,2022
1,140,You don't have to be afraid of being alone.,Eileen Fisher,2022
1,141,Adventures only happen to the adventurous.,Elliott Bisnow,2022
1,142,The soul often speaks through longing.,Sue Monk Kidd,2022
1,143,The only mediation you can do is love.,Mike Myers,2022
1,144,You've got to bare yourself open.,Melissa Etheridge,2022
1,145,The most important relationship in life is the one you have with yourself.,Diane von Furstenberg,2022
1,146,Our peace shall stand as firm as rocky mountains.,William Shakespeare,2022
1,147,"Hope is a state of mind� Hope, in this deep and powerful sense is not the same as joy that things are going well, or willingness to invest in enterprises that are obviously heading to success, but rather an ability to work for something because it is good.",Vaelav Havel,2022
1,148,Treat people like they want to be treated.,Ava Duvernay,2022
1,149,Gratitude cultivates an appreciation for all that is beautiful around us.,Bold Moves,2022
1,150,I live my life because I dare.,Gabourey Sidibe,2022
1,151,"Seek to be whole, not perfect.",Oprah Winfrey,2022
1,152,Attention is the beginning of devotion,Mary Oliver,2022
1,153,We were put here on earth to do different things.,Elizabeth Lesser,2022
1,154,The hard parts in our life define us more than the easy habits.,Sarah McLachlan,2022
1,155,Your present circumstances don't determine where you can go; they merely determine where you start.,Nido Qubein,2022
1,156,Struggles along the way are only meant to shape you for your purpose.,Chadwick Boseman,2022
1,157,Persistence and Resilience only come from having been given the chance to work through difficult problems.,Fever Tulley,2022
1,158,"The more we help others, the more we help ourselves.",Muhammad Ali,2022
1,159,You're your own here.,Gina Rodriguez,2022
1,160,Find your northern start and let it illuminate the path ahead you.,Bold Moves,2022
1,161,Stop chasing things that are beneath the truth of who you are.,Iyanla Vanzant,2022
1,162,Inspiration gives no warnings.,Gabriel Garcia Marquez,2022
1,163,We have to replace fear with curiosity.,Steven Spielberg,2022
1,164,"Don't agonize, organize.",Florynce Kennedy,2022
1,165,"If there is no struggle, there is no progress.",Frederick Douglas,2022
1,166,We're all explorers.,Jessica Chastain,2022
1,167,"Failure is simply the opportunity to begin again, this time more intelligently.",Henry Ford,2022
1,168,The path forward is worth the fight.,Mark Manson,2022
1,169,"The secret is to have a sense of yourself, your real self.",Bill Murray,2022
1,170,There's room in this world for beauty to be diverse.,Lupita Nyong'o,2022
1,171,"Money is nothing more than a reflection of your creativity, your capacity to focus, and your ability to add value and receive back.",Tony Robbins,2022
1,172,Courage doesn�t mean you don't get afraid. Courage means that you don't let fear stop you.,Bethany Hamilton,2022
1,173,"Go with the choice that scares you the most, because that�s the one that is going to help you grow.",Powers of Knowledge,2022
1,174,Finish every day and be done with it� You have done what you could. Some blunders and absurdities no doubt crept in; forget them as fast as you can. Tomorrow is a new day; you shall begin it serenely and with too high a spirit to be cumbered with your old nonsense.,Ralph Waldo Emerson,2022
1,175,We touch other people's lives simply by existing.,J.K. Rowling,2022
1,176,You can create your own spark.,Amy Poehler,2022
1,177,Life isn't about seeking happiness. It's about experiencing it from within.,Bold Moves,2022
1,178,"My mother�. She is beautiful, softened at the edges and tempered with a spine of steel.",Jodi Picoult,2022
1,179,"A mother, after all, is your entry into the world.",Meghan O'Rourke,2022
1,180,The art of mothering is to teach the art of living to children.,Elaine Heffner,2022
1,181,My mother has handed down respect for the possibilities - and the will to grasp them.,Alice Walker,2022
1,182,"No matter who you are, being kind is the easiest thing you can do.",Dwayne Johnson,2022
1,183,I believe in the limitlessness of humans.,Alicia Keys,2022
1,184,Anything that comes to me is a gift.,Bryan Cranston,2022
1,185,"All that I am or hope to be, I owe to my angel mother.",Abraham Lincoln,2022
1,186,Find who you are in this world.,Angelina Jolie,2022
1,187,Love is relentlessly showing up for your people.,Glennon Doyle Melton,2022
1,188,The more unique the better.,Emma Stone,2022
1,189,Your time is limited so don't waste it living someone else's life.,Steve Jobs,2022
1,190,Take a risk once in a while - why not?,Ashley Benson,2022
1,191,Trust your talent.,Bette Midler,2022
1,192,Like the seasons we are always changing. Forever growing and evolving throughout our lives.,Bold Moves,2022
1,193,"As far as your eye can see, the universe can see even further.",Oprah Winfrey,2022
1,194,You've been assigned to inspire.,Angela Davis,2022
1,195,"There is a magic that comes from people speaking for themselves, on their own terms.",Rachel Maddow,2022
1,196,Admit what your dreams are.,Maya Rudolph,2022
1,197,"Never, never, never give up. And remember to dance a little.",Gloria Steinem,2022
1,198,Providence is going to somehow guide you in the direction you need to go.,Morgan Freeman,2022
1,199,�almost always there is a better opportunity hidden behind the last one.,Diane von Furstenberg,2022
1,200,"The more I achieve, the more capacity I have to achieve.",Idris Elba,2022
1,201,We get to determine our own 'happily ever after' for ourselves.,Jennifer Aniston,2022
1,202,"Build a life. Don't live one, Build one.",Ashton Kutcher,2022
1,203,Life should be lived out loud and all big feelings felt.,Casey Wildon,2022
1,204,Great works are performed not by strength by by perseverance.,Samuel Johnson,2022
1,205,"Have patience with all things, but first of all with yourself.",Saint Francis de Sales,2022
1,206,I test the limits of myself in order to transform myself.,Marina Abramovic,2022
1,207,Somewhere inside me I found the strength to do what I thought was impossible.,Junot Diaz,2022
1,208,I strive to be the best I can - to be better than I was yesterday and better tomorrow.,Ellen DeGeneres,2022
1,209,Choosing to go toward the cracking in order to keep expanding is the only way.,Sophia Bush,2022
1,210,"Surrendering leads directly to our right lives, our heart's desires.",Martha Beck,2022
1,211,"Like all great things of value, relationships require investment.",Bold Moves,2022
1,212,Love is huge.,Chevy Chase,2022
1,213,You don't get to pick what breaks you and you can't predict what's going to save you.,Chris Gerhard,2022
1,214,The meaning of life is to find your gift. The purpose of life is to give it away.,Pable Picasso,2022
1,215,Don't raise your voice. Improve your argument.,Desmond Tutu,2022
1,216,Let fear be a counselor and not a jailer.,Tony Robbins,2022
1,217,"Love is an action, a way of doing.",Krista Tippett.,2022
1,218,The optimist sees opportunity in every danger; the pessimist sees danger in every opportunity.,Winston Churchill,2022
1,219,You'll be amazed at what you attract after you start believing in what you deserve.,Anonymous,2022
1,220,Nothing ever goes away until it teaches you what you need to know.,Pema Chodron,2022
1,221,When we link arms we're just better for it.,Lena Dunham,2022
1,222,"Hope is the thing  with feathers that perches in the soul and signs the tune without the words and never stops, at all. And sweetest in the Gale is heard and sore must be the storm that could abash the little bird that kept so many warm. I've heard it in the chilliest land and on the strangest sea yet never in extremity, i asked a crumb of me.",Emily Dickinson,2022
1,223,Embrace your weirdness.,Cara Delevigne,2022
1,224,Travel makes one honest. You see what a tiny part of the world you occupy.,Gustave Flaubert,2022
1,225,Exploration is really the essence of the human spirit.,Frank Borman,2022
1,226,Don't be afraid of the moment.,Stephen Curry,2022
1,227,What get's you through life is strength of character and strength of spirit and love.,Viola Davis,2022
1,228,Each day is a wander.,Oprah Winfrey,2022
1,229,The choice to be grateful unlocks a great joy from within.,Bold Moves,2022
1,230,The only thing really stopping you is you.,Gina Rodriguez,2022
1,231,Gratitude unlocks the fullness of life.,Melody Beattie,2022
1,232,What we do comes out of who we believe we are.,Rob Bell,2022
1,233,"When you listen, you learn.",Steven Spielberg,2022
1,234,You receive from the world what you give to the world.,Gary Zukav,2022
1,235,We're capable. We're so capable.,Nicki Minaj,2022
1,236,It's a beautiful challenge to be the best person in the mirror you can be.,Nathalie Portman,2022
1,237,It's hard work that creates change.,Shonda Rhimes,2022
1,238,"It's okay to be powerful in every way: to be big, to take up space , to breath and to thrive.",Claire Danes,2022
1,239,"Joy, rather than happiness is the goal of life, for joy is the emotion which accompanies our fulfilling our natures as human beings. It is based on the experience of one's identity as a being of worth and dignity.",Rollo May,2022
1,240,It takes a long time to grow an old friend.,John Leonard,2022
1,241,One of the most beautiful qualities of true friendship is to understand and be understood.,Lucius Annaeus Seneca,2022
1,242,You gotta choose joy.,Tracee Ellis Ross,2022
1,243,Define the Why in your life and the how will become more clear.,Bold Moves,2022
1,244,Things are never quite as scary when you've got a best friend.,Bill Watteron,2022
1,245,Imagination is the first step toward action.,Gloria Steinem,2022
1,246,My best friend is the one who brings out the best in me.,Henry Ford,2022
1,247,A friend is what the heart needs all the time.,Henry Van Dyke,2022
1,248,A friend is someone who gives you total freedom to be yourself.,Jim Morrison,2022
1,249,Your time is the most valuable asset you own.,Beyonce,2022
1,250,Courage comes from knowing your truth and standing up for it.,Priyanka Chopra,2022
1,251,You can choose courage or you can choose comfort. You cannot have both.,Brene Brown,2022
1,252,Optimism is a daily spiritual practice.,Shawn Achor,2022
1,253,"To the extent that you can, err in the direction of kindness.",George Saunders,2022
1,254,"Do not dwell on the past, do not dream of the future, concentrate the mind on the present moment.",Buddha,2022
1,255,Choosing to build yourself up is always within your power.,Anthony Carrigan,2022
